,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
68060,2021-01-06,South Africa,1149591,31368,929239.0,188984.0,21832,844,8360
68080,2021-01-06,US,21499587,367492,0.0,21132095.0,256867,3924,0
68084,2021-01-06,United Kingdom,2845269,77470,6452.0,2761347.0,62556,1042,66
68102,2021-01-07,Australia,28571,909,22606.0,5056.0,25,0,6
68117,2021-01-07,Brazil,7970112,200679,7081521.0,687912.0,87969,1518,48235
68177,2021-01-07,Israel,471048,3552,402913.0,64583.0,7600,23,4545
68178,2021-01-07,Italy,2220361,77291,1572015.0,571055.0,18416,414,15659
68218,2021-01-07,New Zealand,2188,25,2101.0,62.0,0,0,0
68254,2021-01-07,South Africa,1170590,31809,938216.0,200565.0,20999,441,8977
68274,2021-01-07,US,21788197,371520,0.0,21416677.0,288610,4028,0
68278,2021-01-07,United Kingdom,2898056,78632,6524.0,2812900.0,52787,1162,72
68296,2021-01-08,Australia,28582,909,22606.0,5067.0,11,0,0
68311,2021-01-08,Brazil,8029698,201760,7136817.0,691121.0,59586,1081,55296
68371,2021-01-08,Israel,477357,3596,408753.0,65008.0,6309,44,5840
68372,2021-01-08,Italy,2237890,77911,1589590.0,570389.0,17529,620,17575
68412,2021-01-08,New Zealand,2188,25,2101.0,62.0,0,0,0
68448,2021-01-08,South Africa,1192570,32425,947919.0,212226.0,21980,616,9703
68468,2021-01-08,US,22091658,375709,0.0,21715949.0,303461,4189,0
68472,2021-01-08,United Kingdom,2966248,79965,6702.0,2879581.0,68192,1333,178
68490,2021-01-09,Australia,28595,909,22612.0,5074.0,13,0,6
68505,2021-01-09,Brazil,8081091,202769,7205410.0,672912.0,51393,1009,68593
68565,2021-01-09,Israel,485434,3645,412296.0,69493.0,8077,49,3543
68566,2021-01-09,Italy,2257866,78394,1606630.0,572842.0,19976,483,17040
68606,2021-01-09,New Zealand,2219,25,2119.0,75.0,31,0,18
68642,2021-01-09,South Africa,1214176,32824,956712.0,224640.0,21606,399,8793
68662,2021-01-09,US,22351188,378965,0.0,21972223.0,259530,3256,0
68666,2021-01-09,United Kingdom,3026346,81000,6855.0,2938491.0,60098,1035,153
68684,2021-01-10,Australia,28614,909,22621.0,5084.0,19,0,9
68699,2021-01-10,Brazil,8110118,203259,7231336.0,675523.0,29027,490,25926
68759,2021-01-10,Israel,491319,3671,419907.0,67741.0,5885,26,7611
68760,2021-01-10,Italy,2276491,78755,1617804.0,579932.0,18625,361,11174
68800,2021-01-10,New Zealand,2222,25,2120.0,77.0,3,0,1
68836,2021-01-10,South Africa,1231597,33163,966368.0,232066.0,17421,339,9656
68856,2021-01-10,US,22564561,381069,0.0,22183492.0,213373,2104,0
68860,2021-01-10,United Kingdom,3081372,81567,7013.0,2992792.0,55026,567,158
68878,2021-01-11,Australia,28634,909,22627.0,5098.0,20,0,6
68893,2021-01-11,Brazil,8140865,203750,7273237.0,663878.0,30747,491,41901
68953,2021-01-11,Israel,501073,3704,425004.0,72365.0,9754,33,5097
68954,2021-01-11,Italy,2289021,79203,1633839.0,575979.0,12530,448,16035
68994,2021-01-11,New Zealand,2222,25,2120.0,77.0,0,0,0
69030,2021-01-11,South Africa,1246643,33579,973265.0,239799.0,15046,416,6897
69050,2021-01-11,US,22775398,382905,0.0,22392493.0,210837,1836,0
69054,2021-01-11,United Kingdom,3127647,82096,7153.0,3038398.0,46275,529,140
69072,2021-01-12,Australia,28650,909,22643.0,5098.0,16,0,16
69087,2021-01-12,Brazil,8205289,204875,7284945.0,715469.0,64424,1125,11708
69147,2021-01-12,Israel,510063,3771,429929.0,76363.0,8990,67,4925
69148,2021-01-12,Italy,2303263,79819,1653404.0,570040.0,14242,616,19565
69188,2021-01-12,New Zealand,2228,25,2141.0,62.0,6,0,21
69224,2021-01-12,South Africa,1259748,34334,1019123.0,206291.0,13105,755,45858
69244,2021-01-12,US,22994299,387294,0.0,22607005.0,218901,4389,0
69248,2021-01-12,United Kingdom,3173295,83342,7352.0,3082601.0,45648,1246,199
69266,2021-01-13,Australia,28660,909,22650.0,5101.0,10,0,7
69281,2021-01-13,Brazil,8265116,206139,7347080.0,711897.0,59827,1264,62135
69341,2021-01-13,Israel,520060,3817,437790.0,78453.0,9997,46,7861
69342,2021-01-13,Italy,2319036,80326,1673936.0,564774.0,15773,507,20532
69382,2021-01-13,New Zealand,2228,25,2141.0,62.0,0,0,0
69418,2021-01-13,South Africa,1278303,35140,1030930.0,212233.0,18555,806,11807
69438,2021-01-13,US,23224140,391312,0.0,22832828.0,229841,4018,0
69442,2021-01-13,United Kingdom,3220957,84910,7434.0,3128613.0,47662,1568,82
69460,2021-01-14,Australia,28669,909,22657.0,5103.0,9,0,7
